Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy
Insulin,1464,3442,Monthly
Lisinopril,3617,9006,Monthly
Lisinopril,5299,7918,Weekly
Lisinopril,2936,7147,Monthly
Lisinopril,3142,2787,Weekly
Atorvastatin,8605,7175,Weekly
Metformin,6571,9884,Weekly
Metformin,4103,2265,Monthly
Atorvastatin,8701,3253,Quarterly
Insulin,2493,8668,Weekly
Lisinopril,5117,7619,Quarterly
Insulin,9649,7500,Quarterly
Metformin,8212,4314,Monthly
Lisinopril,6846,10587,Quarterly
Metformin,3100,7379,Monthly
Metformin,2981,2148,Monthly
Metformin,1485,8186,Monthly
Insulin,6667,6949,Monthly
Metformin,1308,7944,Weekly
Lisinopril,7319,7148,Monthly
Metformin,9800,3506,Weekly
Metformin,7600,5635,Weekly
Insulin,3943,6481,Monthly
Insulin,6266,10320,Weekly
Lisinopril,7893,10090,Quarterly
Metformin,3807,7220,Weekly
Atorvastatin,3998,2181,Weekly
Insulin,7511,3841,Monthly
Atorvastatin,3733,8538,Quarterly
Metformin,4177,10430,Quarterly
Atorvastatin,4438,8373,Weekly
Atorvastatin,5486,3449,Weekly
Lisinopril,5521,7958,Monthly
Insulin,8997,10282,Monthly
Lisinopril,2311,2326,Monthly
Insulin,7651,5542,Weekly
Atorvastatin,9163,3813,Monthly
Atorvastatin,2519,8323,Monthly
Insulin,4548,6473,Quarterly
Insulin,3258,3464,Weekly
Atorvastatin,7618,3533,Monthly
Metformin,6620,9929,Weekly
Insulin,7185,5378,Quarterly
Metformin,4918,2997,Monthly
Metformin,1886,3065,Weekly
Insulin,3386,5595,Quarterly
Metformin,2674,6609,Weekly
Atorvastatin,9269,6774,Weekly
Atorvastatin,9085,2180,Weekly
Atorvastatin,5169,4500,Weekly
Insulin,1137,10671,Quarterly
Insulin,7665,5025,Monthly
Insulin,2858,5375,Weekly
Metformin,4593,9628,Weekly
Lisinopril,8116,5345,Monthly
Metformin,5436,2430,Quarterly
Lisinopril,9829,6534,Monthly
Lisinopril,2806,2943,Weekly
Atorvastatin,9980,7467,Monthly
Lisinopril,1384,1554,Monthly
Lisinopril,1536,9733,Weekly
Lisinopril,7191,5993,Quarterly
Atorvastatin,1704,4306,Quarterly
Insulin,3373,4261,Weekly
Insulin,8495,10246,Quarterly
Insulin,3804,9145,Weekly
Metformin,8753,6579,Quarterly
Metformin,8357,3851,Monthly
Metformin,2255,8506,Quarterly
Atorvastatin,9760,8403,Monthly
Insulin,4336,9243,Quarterly
Metformin,8159,4659,Weekly
Lisinopril,9758,9592,Weekly
Atorvastatin,1081,2004,Quarterly
Atorvastatin,9961,10154,Quarterly
Metformin,3969,7923,Quarterly
Metformin,1596,7335,Weekly
Atorvastatin,7687,7334,Weekly
Atorvastatin,4150,6114,Quarterly
Atorvastatin,8075,10173,Quarterly
Insulin,4772,4323,Monthly
Atorvastatin,3340,4317,Quarterly
Lisinopril,8000,5582,Weekly
Insulin,1010,2334,Quarterly
Atorvastatin,5027,9940,Monthly
Insulin,7938,6832,Weekly
Lisinopril,1223,4868,Monthly
Lisinopril,2371,7275,Monthly
Metformin,8042,3201,Weekly
Lisinopril,3450,1648,Weekly
Atorvastatin,3494,8719,Weekly
Lisinopril,6409,9979,Monthly
Metformin,1816,1898,Quarterly
Metformin,8632,2324,Monthly
Lisinopril,5894,9933,Quarterly
Metformin,6513,10191,Monthly
Atorvastatin,9442,10537,Monthly
Atorvastatin,9926,9112,Weekly
Insulin,8288,8738,Weekly
Insulin,9876,6052,Quarterly
Atorvastatin,2562,9122,Monthly
Insulin,5331,9266,Quarterly
Atorvastatin,9984,6522,Quarterly
Lisinopril,3507,10196,Quarterly
Atorvastatin,1718,7084,Weekly
Atorvastatin,6487,5305,Monthly
Atorvastatin,9208,9985,Quarterly
Insulin,9045,10518,Quarterly
Metformin,3663,5035,Quarterly
Atorvastatin,1848,10535,Weekly
Insulin,3236,4818,Weekly
Insulin,2937,9441,Weekly
Lisinopril,1656,4471,Weekly
Insulin,3819,3426,Quarterly
Atorvastatin,8450,4536,Weekly
Lisinopril,4180,3035,Quarterly
Atorvastatin,7327,7487,Weekly
Lisinopril,4320,8919,Weekly
Metformin,2778,3774,Quarterly
Insulin,3455,9559,Quarterly
Lisinopril,7995,7468,Quarterly
Insulin,4772,6328,Weekly
Lisinopril,4951,7752,Quarterly
Lisinopril,4993,4589,Monthly
Lisinopril,4743,10628,Quarterly
Insulin,5473,4270,Monthly
Insulin,9261,9664,Weekly
Atorvastatin,8777,2149,Quarterly
Metformin,2817,4355,Quarterly
Insulin,2885,8915,Weekly
Insulin,1875,8358,Quarterly
Insulin,2214,4498,Monthly
Metformin,1493,2296,Monthly
Insulin,2892,3263,Weekly
Atorvastatin,3345,2334,Monthly
Lisinopril,3233,1915,Monthly
Metformin,6300,7420,Monthly
Atorvastatin,6557,5055,Weekly
Atorvastatin,5937,7703,Quarterly
Lisinopril,4849,9967,Weekly
Atorvastatin,8902,10410,Quarterly
Metformin,7878,4071,Quarterly
Atorvastatin,5884,8994,Weekly
Insulin,4119,1760,Weekly
Atorvastatin,8411,4373,Monthly
Insulin,9241,10474,Quarterly
Metformin,7234,5847,Quarterly
Metformin,5847,7276,Monthly
Lisinopril,7370,5587,Monthly
Atorvastatin,5411,7089,Quarterly
Metformin,2265,5032,Monthly
Metformin,2117,4669,Quarterly
Atorvastatin,7425,2160,Monthly
Insulin,8701,9248,Weekly
Atorvastatin,3951,2760,Monthly
Atorvastatin,2482,7451,Quarterly
Metformin,3695,8589,Weekly
Lisinopril,4351,3530,Quarterly
Lisinopril,5320,7874,Quarterly
Metformin,9772,2919,Weekly
Atorvastatin,1118,9528,Monthly
Metformin,5048,7382,Monthly
Metformin,3799,2924,Quarterly
Atorvastatin,4462,5274,Monthly
Metformin,5761,10129,Weekly
Lisinopril,5093,9610,Quarterly
Lisinopril,3426,8249,Weekly
Metformin,3671,4939,Weekly
Metformin,8459,3964,Monthly
Insulin,2638,7224,Quarterly
Insulin,4507,3060,Weekly
Metformin,2416,3608,Weekly
Insulin,3601,9449,Weekly
Metformin,1908,7385,Weekly
Insulin,7518,10268,Monthly
Metformin,6198,6878,Weekly
Insulin,4165,7500,Quarterly
Insulin,4114,3331,Monthly
Insulin,2408,3284,Weekly
Insulin,4256,7200,Monthly
Lisinopril,8250,4304,Weekly
Atorvastatin,8138,3088,Quarterly
Insulin,1987,2840,Monthly
Metformin,1940,6675,Weekly
Lisinopril,6647,4242,Quarterly
Lisinopril,6401,6341,Quarterly
Metformin,7111,3754,Monthly
Metformin,8703,10878,Monthly
Atorvastatin,8512,7473,Weekly
Metformin,5335,4233,Quarterly
Atorvastatin,2064,8631,Quarterly
Insulin,7011,9633,Weekly
Insulin,1808,10390,Monthly
Atorvastatin,6830,8863,Weekly
Atorvastatin,3823,1956,Weekly
Metformin,7733,4231,Weekly
Metformin,3410,7129,Quarterly
Metformin,7824,2652,Weekly
Metformin,5079,10536,Weekly
Lisinopril,9921,10508,Monthly
Atorvastatin,3438,9769,Quarterly
Atorvastatin,7335,3044,Quarterly
Atorvastatin,3090,6636,Quarterly
Lisinopril,3474,1587,Quarterly
Atorvastatin,4737,1720,Monthly
Insulin,3133,7513,Weekly
Atorvastatin,8989,2021,Monthly
Atorvastatin,1691,9496,Monthly
Lisinopril,2253,3942,Weekly
Atorvastatin,4809,2897,Quarterly
Lisinopril,7442,7805,Weekly
Insulin,6134,9304,Quarterly
Insulin,1598,5952,Weekly
Atorvastatin,4490,1903,Monthly
Metformin,9741,3670,Weekly
Atorvastatin,4130,2000,Monthly
Metformin,5237,9857,Weekly
Atorvastatin,4754,2564,Monthly
Lisinopril,2270,6814,Quarterly
Insulin,5232,4544,Quarterly
Lisinopril,7250,9373,Weekly
Insulin,8546,5497,Quarterly
Lisinopril,7683,3743,Weekly
Lisinopril,1406,5053,Weekly
Lisinopril,6649,6074,Monthly
Lisinopril,2356,7763,Weekly
Metformin,9546,10285,Weekly
Lisinopril,8294,3416,Monthly
Lisinopril,1438,3207,Quarterly
Atorvastatin,5325,4156,Monthly
Atorvastatin,8355,2101,Monthly
Atorvastatin,9307,8471,Weekly
Metformin,3454,9824,Monthly
Insulin,9994,8156,Weekly
Metformin,6970,10124,Monthly
Insulin,5090,4659,Quarterly
Atorvastatin,6627,3112,Quarterly
Lisinopril,8019,10373,Weekly
Metformin,9337,8138,Weekly
Insulin,9453,10839,Monthly
Lisinopril,1819,2245,Weekly
Lisinopril,1903,3059,Monthly
Metformin,2987,5206,Monthly
Insulin,1123,1955,Monthly
Insulin,6964,4061,Quarterly
Insulin,1793,8383,Monthly
Lisinopril,3727,1590,Weekly
Atorvastatin,7275,4478,Monthly
Lisinopril,9882,9237,Monthly
Metformin,5727,9173,Weekly
Metformin,7238,6268,Weekly
Insulin,5872,5799,Quarterly
Atorvastatin,6892,10291,Monthly
Atorvastatin,6014,3655,Quarterly
Insulin,7019,1974,Weekly
Metformin,8992,2214,Monthly
Atorvastatin,2904,7289,Monthly
Metformin,5484,9355,Quarterly
Lisinopril,7893,10708,Monthly
Insulin,2304,6647,Quarterly
Insulin,3916,8815,Weekly
Atorvastatin,2627,2924,Monthly
Metformin,8659,8238,Weekly
Lisinopril,1294,8754,Monthly
Metformin,1270,4470,Weekly
Atorvastatin,1684,8502,Monthly
Atorvastatin,5499,4050,Weekly
Atorvastatin,3278,7793,Quarterly
Metformin,8279,6505,Monthly
Insulin,1113,8596,Quarterly
Metformin,1398,10350,Quarterly
Insulin,4101,5585,Quarterly
Insulin,6818,6401,Weekly
Lisinopril,5092,6467,Weekly
Insulin,4723,8155,Monthly
Insulin,5625,9168,Weekly
Atorvastatin,8790,5825,Monthly
Metformin,7896,6932,Monthly
Atorvastatin,9909,5190,Weekly
Lisinopril,5197,8851,Weekly
Metformin,4164,8742,Quarterly
Atorvastatin,6895,5612,Quarterly
Lisinopril,3915,2201,Monthly
Lisinopril,1436,9433,Weekly
Lisinopril,9702,5255,Quarterly
Metformin,8675,3699,Quarterly
Atorvastatin,6233,3874,Monthly
Lisinopril,2055,4871,Quarterly
Atorvastatin,2542,4501,Weekly
Insulin,5527,7201,Quarterly
Insulin,8236,3500,Monthly
Atorvastatin,4088,9761,Weekly
Lisinopril,3732,7679,Weekly
Metformin,5372,10871,Weekly
Metformin,7719,3540,Weekly
Lisinopril,1408,2703,Monthly
Insulin,3306,3229,Quarterly
Lisinopril,4748,7068,Weekly
Lisinopril,2858,6663,Monthly
Atorvastatin,5023,6688,Weekly
Insulin,4953,5015,Monthly
Insulin,5651,2886,Weekly
Lisinopril,3923,4423,Weekly
Metformin,3351,6835,Quarterly
Lisinopril,3345,10671,Monthly
Lisinopril,5402,8276,Weekly
Insulin,5534,8830,Quarterly
Metformin,3444,10208,Quarterly
Atorvastatin,2661,9974,Quarterly
Lisinopril,6128,8015,Quarterly
Metformin,1562,7677,Quarterly
Insulin,1131,7272,Monthly
Insulin,3626,5943,Quarterly
Insulin,4250,7410,Weekly
Insulin,3106,10047,Weekly
Lisinopril,3853,10685,Monthly
Metformin,4252,7040,Weekly
Metformin,2434,10351,Quarterly
Atorvastatin,7174,3171,Weekly
Metformin,5464,2714,Quarterly
Lisinopril,2204,7781,Monthly
Insulin,4988,2625,Monthly
Atorvastatin,6553,6943,Quarterly
Lisinopril,6073,5087,Weekly
Lisinopril,4603,1775,Monthly
Insulin,1424,7233,Monthly
Atorvastatin,9306,5441,Monthly
Atorvastatin,4861,10449,Monthly
Metformin,3576,2414,Weekly
Insulin,4929,6540,Monthly
Lisinopril,2965,4135,Weekly
Insulin,8105,1749,Quarterly
Metformin,9274,4859,Quarterly
Insulin,6319,6117,Monthly
Lisinopril,1147,2193,Monthly
Atorvastatin,5926,3103,Monthly
Metformin,1002,10507,Quarterly
Metformin,1070,10394,Monthly
Metformin,6201,8539,Quarterly
Atorvastatin,4813,1780,Weekly
Lisinopril,9885,5129,Weekly
Atorvastatin,7575,7049,Monthly
Lisinopril,1606,7752,Weekly
Insulin,9937,7904,Monthly
Lisinopril,8579,7038,Monthly
Lisinopril,7185,3940,Quarterly
Atorvastatin,3109,7936,Monthly
Atorvastatin,4223,1906,Monthly
Lisinopril,7437,2491,Weekly
Metformin,2569,9371,Monthly
Lisinopril,4683,6349,Monthly
Insulin,5583,10734,Monthly
Insulin,4230,2558,Monthly
Atorvastatin,6862,8349,Quarterly
Metformin,4312,10479,Monthly
Insulin,4214,4992,Quarterly
Lisinopril,4703,9302,Monthly
Lisinopril,4036,1892,Quarterly
Atorvastatin,1875,4370,Monthly
Atorvastatin,9220,10762,Monthly
Metformin,3710,1823,Quarterly
Metformin,9332,1906,Monthly
Lisinopril,1642,6284,Monthly
Lisinopril,7177,9193,Quarterly
Atorvastatin,6299,8031,Weekly
Atorvastatin,5261,5756,Weekly
Lisinopril,3220,10091,Quarterly
Insulin,8449,9288,Quarterly
Lisinopril,9723,10208,Weekly
Lisinopril,4975,4074,Monthly
Atorvastatin,5234,10237,Quarterly
Insulin,1028,8053,Monthly
Metformin,6877,6421,Quarterly
Atorvastatin,1404,7147,Monthly
Insulin,7365,10672,Weekly
Lisinopril,6877,7615,Quarterly
Lisinopril,4116,6403,Monthly
Atorvastatin,5022,10048,Quarterly
Atorvastatin,4780,5917,Quarterly
Insulin,8277,10077,Monthly
Metformin,5072,4840,Quarterly
Metformin,5161,10065,Quarterly
Metformin,2757,4083,Monthly
Insulin,4145,9784,Weekly
Insulin,4931,4236,Weekly
Metformin,2439,7511,Weekly
Insulin,4740,2215,Monthly
Atorvastatin,1711,2697,Quarterly
Metformin,8639,2076,Weekly
Insulin,4960,6743,Monthly
Metformin,4613,5317,Quarterly
Lisinopril,5901,6169,Quarterly
Atorvastatin,7363,2350,Weekly
Lisinopril,3366,2774,Monthly
Atorvastatin,4135,7086,Quarterly
Atorvastatin,3552,2122,Quarterly
Metformin,4109,9701,Quarterly
Insulin,6750,8834,Weekly
Atorvastatin,1596,8962,Quarterly
Atorvastatin,9532,3966,Monthly
Insulin,1406,6608,Monthly
Atorvastatin,7087,5673,Quarterly
Metformin,6216,4166,Monthly
Lisinopril,4127,10860,Weekly
Atorvastatin,3973,4106,Weekly
Lisinopril,7708,5175,Quarterly
Metformin,7341,4481,Quarterly
Insulin,6633,7526,Weekly
Metformin,8318,6526,Weekly
Metformin,9829,9681,Weekly
Metformin,8063,10459,Quarterly
Metformin,4769,2171,Monthly
Atorvastatin,3941,4029,Weekly
Lisinopril,3251,7970,Weekly
Atorvastatin,2760,8889,Weekly
Lisinopril,7352,9921,Weekly
Metformin,7127,9882,Weekly
Lisinopril,7955,5907,Monthly
Lisinopril,9660,9390,Weekly
Lisinopril,9026,3987,Monthly
Metformin,3682,2271,Weekly
Atorvastatin,8189,3197,Quarterly
Lisinopril,8386,5476,Quarterly
Metformin,9725,8399,Monthly
Lisinopril,8119,3611,Monthly
Metformin,7011,9745,Quarterly
Atorvastatin,9061,2855,Quarterly
Atorvastatin,5201,8244,Monthly
Insulin,4836,9422,Monthly
Insulin,3038,2823,Monthly
Atorvastatin,8852,6863,Quarterly
Atorvastatin,5437,2666,Quarterly
Atorvastatin,3758,9467,Quarterly
Metformin,3356,10873,Quarterly
Metformin,9978,4382,Weekly
Atorvastatin,8679,4630,Monthly
Lisinopril,6922,8449,Monthly
Atorvastatin,4986,9586,Weekly
Metformin,8304,7160,Weekly
Atorvastatin,3848,8158,Weekly
Lisinopril,2330,8194,Monthly
Atorvastatin,6578,4780,Monthly
Insulin,9951,3994,Quarterly
Lisinopril,9453,7143,Quarterly
Lisinopril,3290,7592,Quarterly
Lisinopril,8212,7454,Quarterly
Lisinopril,2418,5448,Quarterly
Atorvastatin,2273,1500,Weekly
Atorvastatin,6634,2490,Monthly
Atorvastatin,8791,9620,Weekly
Metformin,3239,6197,Quarterly
Metformin,4757,9296,Monthly
Insulin,3207,3772,Weekly
Lisinopril,7352,8443,Weekly
Metformin,8075,1928,Weekly
Atorvastatin,1339,1886,Weekly
Metformin,7474,3843,Weekly
Atorvastatin,7362,6053,Quarterly
Lisinopril,3875,2186,Quarterly
Insulin,8467,3002,Monthly
Atorvastatin,9575,10311,Quarterly
Metformin,3252,2568,Weekly
Insulin,2056,2875,Weekly
Atorvastatin,1615,10619,Quarterly
Insulin,9323,5407,Monthly
Lisinopril,4361,7097,Monthly
Atorvastatin,9938,1968,Weekly
Insulin,7489,7402,Quarterly
Metformin,1291,10306,Monthly
Atorvastatin,4680,3492,Monthly
Lisinopril,9922,8512,Monthly
Atorvastatin,7868,7869,Monthly
Metformin,4435,7400,Monthly
Metformin,5425,7387,Monthly
Insulin,1570,7035,Monthly
Insulin,5122,9875,Weekly
Metformin,2384,1519,Weekly
Atorvastatin,8635,3763,Quarterly
Atorvastatin,6199,3911,Weekly
Insulin,2889,6089,Weekly
Insulin,2991,8744,Quarterly
Metformin,5442,2848,Monthly
Atorvastatin,9331,3533,Quarterly
Lisinopril,4594,10451,Weekly
Lisinopril,2201,5859,Quarterly
Atorvastatin,8150,5651,Weekly
Metformin,1896,9489,Quarterly
Lisinopril,3420,4340,Quarterly
Atorvastatin,9612,4391,Quarterly
Insulin,5168,7950,Monthly
Metformin,4467,1819,Monthly
Insulin,1123,9954,Monthly
Insulin,2514,8086,Weekly
Metformin,6844,10555,Monthly
Atorvastatin,4993,7644,Monthly
Metformin,7064,6563,Weekly
Atorvastatin,6747,7858,Monthly
Insulin,8684,9293,Weekly
Lisinopril,8671,7995,Quarterly
Insulin,3662,8043,Monthly
Atorvastatin,9500,7161,Weekly
Insulin,6511,1671,Quarterly
Lisinopril,4640,3726,Monthly
Lisinopril,3230,3219,Weekly
Lisinopril,3679,3584,Monthly
Insulin,2501,4155,Monthly
Insulin,7896,4099,Weekly
Atorvastatin,6144,4620,Monthly
Insulin,6236,4337,Weekly
Lisinopril,3051,8799,Monthly
Insulin,3607,3315,Quarterly
Insulin,1174,4665,Weekly
Metformin,2039,2216,Monthly
Atorvastatin,7332,2477,Weekly
Metformin,4872,3483,Quarterly
Lisinopril,2204,9373,Monthly
Metformin,7924,5331,Quarterly
Lisinopril,4192,8281,Weekly
Insulin,9069,7715,Weekly
Lisinopril,5216,7103,Monthly
Insulin,5617,8926,Quarterly
Insulin,1698,1919,Weekly
Lisinopril,3208,6776,Quarterly
Lisinopril,7201,8339,Weekly
Atorvastatin,2177,8691,Weekly
Metformin,7252,10160,Quarterly
Metformin,9644,3138,Weekly
Insulin,4418,8413,Quarterly
Atorvastatin,2448,8535,Quarterly
Lisinopril,4259,8749,Monthly
Lisinopril,2408,7602,Monthly
Insulin,2917,10615,Weekly
Insulin,6928,6792,Weekly
Metformin,7515,8575,Weekly
Insulin,2031,4104,Weekly
Metformin,1853,1543,Monthly
Lisinopril,1088,4075,Weekly
Atorvastatin,1530,1669,Quarterly
Atorvastatin,3491,9496,Weekly
Lisinopril,9165,9045,Weekly
Atorvastatin,5234,8807,Monthly
Metformin,8906,4008,Monthly
Atorvastatin,5060,6478,Quarterly
Metformin,7316,2663,Monthly
Metformin,6761,4310,Weekly
Metformin,7770,3889,Monthly
Metformin,2546,3847,Quarterly
Metformin,1880,3422,Quarterly
Lisinopril,6219,3436,Monthly
Insulin,5842,2998,Weekly
Insulin,8738,7802,Monthly
Lisinopril,7587,2347,Quarterly
Lisinopril,8996,5832,Weekly
Insulin,8153,6393,Monthly
Lisinopril,4216,6193,Weekly
Atorvastatin,7703,2888,Quarterly
Lisinopril,5204,4108,Weekly
Insulin,7769,10664,Weekly
Lisinopril,7862,4454,Weekly
Atorvastatin,1991,9814,Monthly
Atorvastatin,6487,7558,Monthly
Metformin,8415,5597,Monthly
Atorvastatin,1459,10928,Monthly
Atorvastatin,8935,5876,Monthly
Atorvastatin,8854,4809,Quarterly
Lisinopril,9421,9625,Weekly
Metformin,1586,9584,Weekly
Atorvastatin,4489,2737,Monthly
Metformin,3973,6218,Monthly
Atorvastatin,4930,8742,Quarterly
Insulin,9464,6232,Quarterly
Atorvastatin,5935,2791,Quarterly
Insulin,6411,1558,Weekly
Metformin,3875,2582,Quarterly
Atorvastatin,4635,9243,Quarterly
Lisinopril,3141,10982,Monthly
Lisinopril,9015,8588,Monthly
Insulin,2386,3288,Quarterly
Metformin,5474,6794,Quarterly
Lisinopril,2954,8360,Weekly
Insulin,7900,6917,Monthly
Metformin,5766,2494,Quarterly
Insulin,4972,4391,Weekly
Lisinopril,2302,10266,Quarterly
Atorvastatin,2601,2927,Monthly
Lisinopril,9126,9674,Monthly
Insulin,9297,8630,Weekly
Lisinopril,4425,9337,Monthly
Atorvastatin,1928,8986,Weekly
Lisinopril,6730,7425,Monthly
Metformin,3787,2857,Monthly
Lisinopril,4219,1667,Monthly
Metformin,7647,3137,Weekly
Metformin,1972,9413,Weekly
Lisinopril,4735,8730,Monthly
Atorvastatin,1135,3327,Monthly
Lisinopril,3416,10883,Quarterly
Lisinopril,1722,5331,Weekly
Insulin,7155,3023,Weekly
Atorvastatin,6456,6073,Quarterly
Lisinopril,8612,1895,Quarterly
Metformin,1063,1648,Monthly
Lisinopril,7880,4646,Monthly
Lisinopril,4748,4892,Quarterly
Insulin,5342,4477,Quarterly
Lisinopril,3261,7937,Quarterly
Lisinopril,9203,6193,Weekly
Lisinopril,5713,8564,Weekly
Atorvastatin,5788,7590,Monthly
Lisinopril,6410,9537,Monthly
Atorvastatin,6944,9353,Quarterly
Atorvastatin,8111,1991,Quarterly
Metformin,9904,4459,Weekly
Atorvastatin,9960,5980,Quarterly
Insulin,4145,6737,Monthly
Metformin,3930,7129,Monthly
Lisinopril,2465,6381,Monthly
Atorvastatin,7088,7678,Quarterly
Lisinopril,6922,9808,Weekly
Insulin,3116,3021,Monthly
Lisinopril,1954,6191,Quarterly
Atorvastatin,9136,7445,Monthly
Atorvastatin,2692,4203,Weekly
Atorvastatin,7518,6468,Quarterly
Atorvastatin,2331,2952,Weekly
Insulin,2207,3749,Monthly
Atorvastatin,9219,6746,Quarterly
Lisinopril,5211,2996,Quarterly
Metformin,8802,2866,Quarterly
Metformin,5529,1784,Quarterly
Atorvastatin,3618,10348,Weekly
Lisinopril,7325,6742,Weekly
Metformin,4716,1641,Quarterly
Lisinopril,8189,8503,Weekly
Atorvastatin,2650,6435,Quarterly
Atorvastatin,8286,8871,Quarterly
Lisinopril,6959,1580,Weekly
Atorvastatin,8229,2534,Weekly
Lisinopril,3756,7584,Monthly
Lisinopril,2258,8218,Monthly
Insulin,9234,8694,Weekly
Lisinopril,9234,6012,Quarterly
Metformin,6418,4866,Monthly
Metformin,8963,4344,Monthly
Insulin,1191,10135,Quarterly
Metformin,5407,2657,Quarterly
Lisinopril,1754,10404,Quarterly
Atorvastatin,1367,2115,Monthly
Metformin,9670,5398,Weekly
Lisinopril,5947,4212,Monthly
Metformin,5736,10271,Quarterly
Lisinopril,9000,1580,Quarterly
Metformin,1617,3736,Weekly
Atorvastatin,9373,7819,Quarterly
Insulin,4343,7051,Weekly
Lisinopril,9201,10625,Monthly
Atorvastatin,8321,4139,Quarterly
Metformin,4502,6134,Weekly
Atorvastatin,9325,2955,Weekly
Atorvastatin,6148,2559,Monthly
Insulin,3631,8138,Quarterly
Lisinopril,4081,9403,Quarterly
Insulin,5902,10570,Weekly
Atorvastatin,6137,4358,Quarterly
Atorvastatin,8349,4886,Monthly
Lisinopril,3557,8166,Quarterly
Atorvastatin,9183,4703,Weekly
Lisinopril,6110,9326,Quarterly
Atorvastatin,7836,1788,Monthly
Metformin,9276,3372,Monthly
Metformin,9222,10783,Weekly
Insulin,6952,3095,Quarterly
Insulin,5946,2017,Monthly
Atorvastatin,8759,3659,Quarterly
Metformin,9835,2127,Weekly
Lisinopril,7301,2987,Quarterly
Insulin,9825,5433,Weekly
Insulin,3540,7507,Quarterly
Lisinopril,3548,6485,Monthly
Insulin,5968,5953,Quarterly
Atorvastatin,4729,8656,Monthly
Metformin,3085,2185,Quarterly
Insulin,9219,10360,Monthly
Atorvastatin,4172,3257,Weekly
Atorvastatin,2479,4833,Weekly
Atorvastatin,7537,4369,Quarterly
Metformin,6108,1912,Weekly
Atorvastatin,5499,6460,Monthly
Insulin,7378,3276,Monthly
Lisinopril,7722,5220,Quarterly
Atorvastatin,2741,8352,Weekly
Insulin,7978,6703,Monthly
Atorvastatin,4477,8163,Weekly
Metformin,1523,2384,Monthly
Lisinopril,8671,1776,Monthly
Atorvastatin,7366,5025,Monthly
Metformin,3168,3216,Quarterly
Metformin,8568,9682,Weekly
Atorvastatin,4843,10857,Weekly
Lisinopril,4568,10023,Monthly
Insulin,3735,1504,Quarterly
Lisinopril,2618,4443,Quarterly
Insulin,6142,2789,Quarterly
Lisinopril,5715,2087,Quarterly
Insulin,8308,2730,Quarterly
Lisinopril,5345,2062,Monthly
Metformin,8533,5102,Quarterly
Metformin,9643,3203,Quarterly
Insulin,2118,8595,Weekly
Lisinopril,8688,3177,Monthly
Atorvastatin,9285,5915,Weekly
Metformin,6987,5986,Monthly
Insulin,6562,8861,Quarterly
Atorvastatin,9986,3381,Quarterly
Lisinopril,7424,2132,Quarterly
Atorvastatin,9896,10899,Weekly
Atorvastatin,5804,10462,Monthly
Insulin,8803,2647,Monthly
Insulin,2644,3566,Weekly
Insulin,6998,8805,Quarterly
Atorvastatin,5263,5097,Weekly
Metformin,3050,2208,Monthly
Atorvastatin,8479,8926,Monthly
Atorvastatin,3577,8240,Weekly
Insulin,2150,4427,Monthly
Insulin,7464,2163,Monthly
Lisinopril,7493,2893,Quarterly
Insulin,8951,9657,Weekly
Atorvastatin,4026,9640,Monthly
Lisinopril,9647,2535,Weekly
Metformin,4298,10267,Weekly
Lisinopril,3820,2019,Weekly
Atorvastatin,2824,9815,Weekly
Atorvastatin,2026,9041,Quarterly
Atorvastatin,1129,9507,Quarterly
Lisinopril,5871,2978,Quarterly
Insulin,1765,7654,Quarterly
Atorvastatin,4465,3046,Weekly
Insulin,4269,2177,Monthly
Atorvastatin,6386,4652,Weekly
Atorvastatin,5337,2113,Quarterly
Lisinopril,9952,2078,Quarterly
Atorvastatin,5925,10723,Quarterly
Lisinopril,1553,7468,Monthly
Metformin,6988,7256,Quarterly
Insulin,9803,2942,Quarterly
Metformin,5277,6353,Weekly
Metformin,9376,10488,Weekly
Metformin,7347,6849,Quarterly
Atorvastatin,8092,10882,Quarterly
Atorvastatin,8043,2297,Quarterly
Metformin,3628,9959,Weekly
Atorvastatin,8405,1828,Weekly
Atorvastatin,2987,6198,Monthly
Lisinopril,4288,4332,Quarterly
Insulin,9425,8750,Quarterly
Atorvastatin,2540,9934,Weekly
Insulin,8794,1665,Quarterly
Insulin,3406,4721,Quarterly
Metformin,1769,2417,Monthly
Metformin,2580,9247,Monthly
Metformin,8693,3687,Quarterly
Atorvastatin,3729,10211,Monthly
Metformin,6574,4176,Monthly
Insulin,9223,8340,Quarterly
Metformin,7810,6450,Monthly
Insulin,4487,10218,Quarterly
Atorvastatin,6026,5153,Weekly
Lisinopril,5301,9623,Weekly
Metformin,3220,7597,Weekly
Lisinopril,9821,2047,Weekly
Lisinopril,1479,6207,Quarterly
Insulin,2899,7937,Monthly
Atorvastatin,5528,8334,Weekly
Atorvastatin,4179,8951,Quarterly
Insulin,7621,4572,Monthly
Insulin,9236,7177,Quarterly
Insulin,3256,2613,Monthly
Atorvastatin,3661,4478,Monthly
Atorvastatin,1671,10579,Monthly
Lisinopril,4214,5905,Quarterly
Metformin,9790,4717,Monthly
Insulin,4171,5972,Weekly
Metformin,7293,4608,Quarterly
Atorvastatin,9103,9081,Monthly
Lisinopril,1475,5426,Weekly
Insulin,5763,7774,Monthly
Lisinopril,9765,4367,Weekly
Insulin,1136,8261,Quarterly
Insulin,3413,3608,Weekly
